row_id,Lat,Lon
1027,67.1,23.5
1028,67.0,15.9
1029,67.0,16.0
1030,67.0,16.1
1031,67.0,16.2
1032,67.0,16.3
1033,67.0,16.4
1034,67.0,16.5
1035,67.0,16.6
1036,67.0,16.7
1037,67.0,16.8
1038,67.0,16.9
1039,67.0,17.0
1040,67.0,17.1
1041,67.0,17.2
1042,67.0,17.3
1043,67.0,17.4
1044,67.0,17.5
1045,67.0,17.6
1046,67.0,17.7
1047,67.0,17.8
1048,67.0,17.9
1049,67.0,18.0
1050,67.0,18.1
1051,67.0,18.2
1052,67.0,18.3
1053,67.0,18.4
1054,67.0,18.5
1055,67.0,18.6
1056,67.0,18.7
1057,67.0,18.8
1058,67.0,18.9
1059,67.0,19.0
1060,67.0,19.1
1061,67.0,19.2
1062,67.0,19.3
1063,67.0,19.4
1064,67.0,19.5
1065,67.0,19.6
1066,67.0,19.7
1067,67.0,19.8
1068,67.0,19.9
1069,67.0,20.0
1070,67.0,20.1
1071,67.0,20.2
1072,67.0,20.3
1073,67.0,20.4
1074,67.0,20.5
1075,67.0,20.6
1076,67.0,20.7
1077,67.0,20.8
1078,67.0,20.9
1079,67.0,21.0
1080,67.0,21.1
1081,67.0,21.2
1082,67.0,21.3
1083,67.0,21.4
1084,67.0,21.5
1085,67.0,21.6
1086,67.0,21.7
1087,67.0,21.8
1088,67.0,21.9
1089,67.0,22.0
1090,67.0,22.1
1091,67.0,22.2
1092,67.0,22.3
1093,67.0,22.4
1094,67.0,22.5
1095,67.0,22.6
1096,67.0,22.7
1097,67.0,22.8
1098,67.0,22.9
1099,67.0,23.0
1100,67.0,23.1
1101,67.0,23.2
1102,67.0,23.3
1103,67.0,23.4
1104,67.0,23.5
1105,66.9,15.8
1106,66.9,15.9
1107,66.9,16.0
1108,66.9,16.1
1109,66.9,16.2
1110,66.9,16.3
1111,66.9,16.4
1112,66.9,16.5
1113,66.9,16.6
1114,66.9,16.7
1115,66.9,16.8
1116,66.9,16.9
1117,66.9,17.0
1118,66.9,17.1
1119,66.9,17.2
1120,66.9,17.3
1121,66.9,17.4
1122,66.9,17.5
1123,66.9,17.6
1124,66.9,17.7
1125,66.9,17.8
1126,66.9,17.9
1127,66.9,18.0
1128,66.9,18.1
1129,66.9,18.2
1130,66.9,18.3
1131,66.9,18.4
1132,66.9,18.5
1133,66.9,18.6
1134,66.9,18.7
1135,66.9,18.8
1136,66.9,18.9
1137,66.9,19.0
1138,66.9,19.1
1139,66.9,19.2
1140,66.9,19.3
1141,66.9,19.4
1142,66.9,19.5
1143,66.9,19.6
1144,66.9,19.7
1145,66.9,19.8
1146,66.9,19.9
1147,66.9,20.0
1148,66.9,20.1
1149,66.9,20.2
1150,66.9,20.3
1151,66.9,20.4
1152,66.9,20.5
1153,66.9,20.6
1154,66.9,20.7
1155,66.9,20.8
1156,66.9,20.9
1157,66.9,21.0
1158,66.9,21.1
1159,66.9,21.2
1160,66.9,21.3
1161,66.9,21.4
1162,66.9,21.5
1163,66.9,21.6
1164,66.9,21.7
1165,66.9,21.8
1166,66.9,21.9
1167,66.9,22.0
1168,66.9,22.1
1169,66.9,22.2
1170,66.9,22.3
1171,66.9,22.4
1172,66.9,22.5
1173,66.9,22.6
1174,66.9,22.7
1175,66.9,22.8
1176,66.9,22.9
1177,66.9,23.0
1178,66.9,23.1
1179,66.9,23.2
1180,66.9,23.3
1181,66.9,23.4
1182,66.9,23.5
1183,66.8,15.7
1184,66.8,15.8
1185,66.8,15.9
1186,66.8,16.0
1187,66.8,16.1
1188,66.8,16.2
1189,66.8,16.3
1190,66.8,16.4
1191,66.8,16.5
1192,66.8,16.6
1193,66.8,16.7
1194,66.8,16.8
