row_id,Lat,Lon,Month,NDVI,NDVI_clim,NDVI_anom,NDVI_lag1,NDVI_anom_lag1,NDVI_lag2,NDVI_anom_lag2
4091,58.93967608649064,15.238487608766102,2024-08-01,0.79105,0.8008937500000001,-0.00984375,0.84355,0.06996875,0.8217,0.0089624999999999
4092,58.4681802537872,13.656680140401376,2024-08-01,0.8317,0.7872750000000001,0.0444249999999999,0.8317,0.0444249999999999,0.8492500000000001,0.0480687499999999
4093,58.75953489259107,15.037450731613957,2024-06-01,0.80845,0.8005625,0.0078875,0.7143,-0.0233062499999999,0.6282,-0.02025625
4094,59.45251269374356,18.02692277717213,2024-05-01,0.6194500000000001,0.5730437500000001,0.0464062499999999,0.38335,-0.0495375,0.38335,-0.0495375
4095,59.45523118878059,18.03496782991964,2024-06-01,0.70355,0.71351875,-0.0099687499999999,0.7521,0.0935249999999999,0.4167,-0.0787125
4096,59.45314565966258,18.0266644611332,2024-05-01,0.80955,0.69039375,0.1191562499999999,0.54325,-0.0368125,0.51065,-0.00133125
4097,59.45251269374356,18.02692277717213,2024-05-01,0.6194500000000001,0.5730437500000001,0.0464062499999999,0.6194500000000001,0.0464062499999999,0.38335,-0.0495375
4098,59.44411878348386,16.32181342590635,2024-04-01,0.5342,0.52340625,0.01079375,0.48755,0.04186875,0.482,0.106225
4099,63.97599980904919,18.033008452642346,2024-06-01,0.52935,0.719925,-0.190575,0.6826,0.0197562499999999,0.27415,-0.057475
4100,63.97488876447899,18.035228419466147,2024-06-01,0.70035,0.716475,-0.0161249999999999,0.6257,0.01736875,0.0484,-0.053575
4101,61.18245468264859,17.14942652398604,2024-07-01,0.7816000000000001,0.7088375,0.0727625,0.7478,0.0420499999999999,0.6709,0.0578875
4102,61.18430237764411,17.147738896179245,2024-07-01,0.82545,0.74721875,0.0782312499999999,0.80005,0.07644375,0.6655500000000001,0.05813125
4103,61.184341713694195,17.15101279273995,2024-07-01,0.82545,0.74721875,0.0782312499999999,0.80005,0.07644375,0.6655500000000001,0.05813125
4104,59.22142591464836,11.810790901801212,2024-09-01,0.79345,0.76781875,0.0256312499999999,0.81525,0.02284375,0.802,0.0098624999999999
4105,57.15796078898318,13.773461260985282,2024-06-01,0.7433500000000001,0.7568875,-0.0135374999999999,0.6556000000000001,-0.0399124999999999,0.6082000000000001,-0.0548499999999999
4106,57.1580586997111,13.77340630012938,2024-06-01,0.7433500000000001,0.7568875,-0.0135374999999999,0.6556000000000001,-0.0399124999999999,0.6082000000000001,-0.0548499999999999
4107,60.01191371133443,16.66548802041262,2024-09-01,0.78185,0.7629687500000001,0.0188812499999999,0.7794000000000001,-0.0416499999999999,0.8442500000000001,0.0358874999999999
4108,63.488871262165574,16.70795633998759,2024-07-01,0.8187500000000001,0.8213250000000001,-0.0025749999999999,0.7605000000000001,-0.0098999999999999,0.69025,0.0298812499999999
