row_id,Lat,Lon,Date,Kommun,Lan,Quantity,Pressence
4387,57.89857828498242,11.985521863764102,2024-11-14 00:00:00,Kungälv,Västra Götaland,1,0
4388,57.897243306083,11.983570702751544,2024-11-14 00:00:00,Kungälv,Västra Götaland,1,0
4389,59.957507099758146,14.389841417132132,2024-11-15 00:00:00,Hällefors,Örebro,1,0
4390,59.95514707651031,14.390765519665647,2024-11-15 00:00:00,Hällefors,Örebro,1,0
4391,64.45977407504289,19.076825774575898,2019-08-08 12:00:00,Vindeln,Västerbotten,2,0
4392,63.46278455157645,17.074495518283086,2019-08-08 00:00:00,Sollefteå,Västernorrland,2,0
4393,63.888341006043156,18.735499021070922,2019-08-01 00:00:00,Bjurholm,Västerbotten,4,0
4394,63.88397343930557,18.865814081520774,2019-08-01 00:00:00,Bjurholm,Västerbotten,1,0
4395,64.45233571131612,19.07618714515657,2019-08-09 00:00:00,Vindeln,Västerbotten,1,0
4396,61.0220348045467,16.65720600972588,2024-06-26 00:00:00,Ockelbo,Gävleborg,1,0
4397,59.185377605620175,18.208881915207797,2024-08-08 00:00:00,Haninge,Stockholm,1,0
4398,56.941121242602314,13.649965606185015,2024-09-21 00:00:00,Hylte,Halland,1,0
4399,59.027165488743485,15.296127789860234,2024-09-29 00:00:00,Hallsberg,Örebro,1,0
4400,59.0263159617949,15.33989738785851,2024-10-06 00:00:00,Hallsberg,Örebro,1,0
4401,58.01185174953933,12.281871804068086,2024-10-01 00:00:00,Ale,Västra Götaland,1,0
4402,58.011682953986195,12.281617528792124,2024-10-01 00:00:00,Ale,Västra Götaland,1,0
4403,56.78194054617667,12.85860991834586,2024-10-06 00:00:00,Halmstad,Halland,1,0
4404,59.29667195589546,14.151215362512248,2024-06-13 00:00:00,Kristinehamn,Värmland,1,0
4405,59.28533340441975,14.21321692608252,2024-06-12 00:00:00,Kristinehamn,Värmland,1,0
4406,64.1993405784735,20.58172153466682,2024-10-07 00:00:00,Robertsfors,Västerbotten,1,0
4407,59.046974954449674,15.239210214956847,2024-10-07 00:00:00,Hallsberg,Örebro,1,0
4408,59.10414093713807,18.444551861551947,2024-10-06 00:00:00,Haninge,Stockholm,1,0
4409,59.10316007800415,18.454341189705893,2024-10-06 00:00:00,Haninge,Stockholm,1,0
4410,58.93194269415043,15.358743896729909,2024-10-13 00:00:00,Hallsberg,Örebro,1,0
4411,59.32209894001932,18.298088088909008,2024-10-08 00:00:00,Nacka,Stockholm,1,0
4412,59.32156977335015,18.290529100525816,2024-10-08 00:00:00,Nacka,Stockholm,1,0
4413,58.96484467458644,15.316724300246365,2024-10-15 00:00:00,Hallsberg,Örebro,1,0
4414,58.96491491033665,15.316306153480818,2024-10-15 00:00:00,Hallsberg,Örebro,1,0
4415,58.96447781155728,15.317042360058853,2024-10-15 00:00:00,Hallsberg,Örebro,1,0
4416,60.1157727721819,14.852318113401479,2024-09-11 00:00:00,Ludvika,Dalarna,1,0
4417,59.35439141344246,18.273159526431673,2024-10-10 00:00:00,Nacka,Stockholm,1,0
4418,59.348376361756955,18.29807978239912,2024-10-10 00:00:00,Nacka,Stockholm,1,0
4419,58.950008002350714,15.310349840912318,2024-10-17 00:00:00,Hallsberg,Örebro,1,0
4420,59.2797443415124,18.065440790932943,2024-10-18 00:00:00,Stockholm,Stockholm,1,0
4421,59.32897730515101,17.94598099532876,2024-04-30 00:00:00,Stockholm,Stockholm,1,0
4422,59.32903055030951,17.946019488643017,2024-04-30 00:00:00,Stockholm,Stockholm,3,0
4423,59.34665270489612,17.941924259498144,2024-05-02 00:00:00,Stockholm,Stockholm,1,0
4424,57.501275886848035,13.034389032484174,2024-09-26 00:00:00,Svenljunga,Västra Götaland,1,0
4425,57.501822612204656,13.03596631623508,2024-09-26 00:00:00,Svenljunga,Västra Götaland,1,0
4426,57.50023534775545,13.03486845912082,2024-09-25 00:00:00,Svenljunga,Västra Götaland,1,0
4427,57.49899692759175,13.033293682854339,2024-09-26 00:00:00,Svenljunga,Västra Götaland,1,0
4428,57.497943579862415,13.037278231598165,2024-09-26 00:00:00,Svenljunga,Västra Götaland,1,0
4429,57.506380261146056,13.032015630723564,2024-09-24 00:00:00,Svenljunga,Västra Götaland,1,0
4430,57.5058605911898,13.03085340558468,2024-09-24 00:00:00,Svenljunga,Västra Götaland,1,0
4431,57.50422546775612,13.034932979578388,2024-09-24 00:00:00,Svenljunga,Västra Götaland,1,0
4432,57.50293706074139,13.0388524127194,2024-09-24 00:00:00,Svenljunga,Västra Götaland,1,0
4433,57.50182638699154,13.03982100266234,2024-09-24 00:00:00,Svenljunga,Västra Götaland,1,0
4434,57.50094633251531,13.040655265052846,2024-09-24 00:00:00,Svenljunga,Västra Götaland,1,0
4435,58.95408660330315,15.320595177139934,2024-10-18 00:00:00,Hallsberg,Örebro,1,0
4436,58.028236321251974,12.338864325094764,2024-10-15 00:00:00,Ale,Västra Götaland,1,0
4437,64.44456133191733,18.998157232893835,2024-08-28 00:00:00,Vindeln,Västerbotten,1,0
4438,63.41075964717097,19.504088209888582,2024-10-02 00:00:00,Nordmaling,Västerbotten,1,0
4439,63.40793471996001,19.501138936760647,2024-10-02 00:00:00,Nordmaling,Västerbotten,1,0
4440,59.00197766631558,14.843325188195177,2024-09-06 00:00:00,Hallsberg,Örebro,1,0
4441,59.417571339892376,18.468185024403677,2024-10-03 00:00:00,Värmdö,Stockholm,1,0
4442,59.195309318651816,18.35000972143239,2024-10-04 00:00:00,Tyresö,Stockholm,1,0
4443,58.09497341095205,15.627530364316202,2024-10-13 00:00:00,Kinda,Östergötland,1,0
4444,58.34194161628929,12.097316877567179,2024-09-02 00:00:00,Uddevalla,Västra Götaland,1,0
4445,60.26326083983279,17.211535937333185,2024-10-17 00:00:00,Heby,Uppsala,1,0
4446,59.981688750308514,18.19220887037953,2024-10-16 00:00:00,Uppsala,Uppsala,1,0
4447,56.02505142286136,13.921776645984025,2024-10-15 00:00:00,Kristianstad,Skåne,1,0
4448,59.98400048402755,17.095488431455568,2024-10-20 00:00:00,Uppsala,Uppsala,1,0
4449,59.01427906222999,17.95595157845705,2024-09-17 00:00:00,Nynäshamn,Stockholm,1,0
4450,59.015888320066615,17.94825122215653,2024-07-02 00:00:00,Nynäshamn,Stockholm,1,0
4451,59.01584465207793,17.951974761212576,2024-06-05 00:00:00,Nynäshamn,Stockholm,1,0
4452,59.10692707095812,16.982516209011326,2024-10-22 00:00:00,Gnesta,Södermanland,1,0
4453,59.10891443662912,16.99005527842743,2024-10-22 00:00:00,Gnesta,Södermanland,1,0
4454,58.96501979178673,15.306171334705418,2024-10-23 00:00:00,Hallsberg,Örebro,1,0
4455,60.45521494087129,16.295524949118963,2024-10-24 00:00:00,Hedemora,Dalarna,1,0
4456,59.36787479736254,17.946090640365863,2024-04-19 00:00:00,Sundbyberg,Stockholm,1,0
4457,60.2976258441902,14.847330853247646,2024-09-20 00:00:00,Ludvika,Dalarna,1,0
4458,62.77015824212019,15.920687194717411,2024-09-20 00:00:00,Bräcke,Jämtland,1,0
4459,58.95217316930735,15.30611403958815,2024-10-25 00:00:00,Hallsberg,Örebro,1,0
4460,59.080395576389606,18.378328055439514,2024-11-17 00:00:00,Haninge,Stockholm,1,0
4461,59.27289344115337,18.090092677629325,2024-11-17 00:00:00,Stockholm,Stockholm,1,0
4462,60.049000174930654,15.674525745828584,2024-10-24 00:00:00,Smedjebacken,Dalarna,1,0
4463,58.42170777053258,12.268238413434908,2024-11-05 00:00:00,Vänersborg,Västra Götaland,1,0
4464,58.41939168004524,12.269292994535821,2024-11-05 00:00:00,Vänersborg,Västra Götaland,1,0
4465,57.01130406841986,15.14307556138859,2024-05-17 12:00:00,Växjö,Kronoberg,1,0
4466,57.01072242324707,15.143464492448775,2024-05-10 00:00:00,Växjö,Kronoberg,1,0
4467,57.01082180462315,15.143577945033782,2024-05-09 12:00:00,Växjö,Kronoberg,1,0
4468,56.99622090996373,15.153972875885401,2024-10-30 00:00:00,Växjö,Kronoberg,1,0
4469,56.99774408155726,15.151593270645602,2024-10-30 00:00:00,Växjö,Kronoberg,1,0
4470,56.99845716922258,15.150577020823665,2024-10-30 00:00:00,Växjö,Kronoberg,1,0
4471,56.98467631589845,15.163385910322482,2024-10-30 00:00:00,Växjö,Kronoberg,1,0
4472,56.98605956271846,15.161700713179554,2024-10-30 00:00:00,Växjö,Kronoberg,1,0
4473,56.989669820026634,15.160009702491433,2024-10-30 00:00:00,Växjö,Kronoberg,1,0
4474,57.65855737026757,12.899926139271276,2024-06-04 00:00:00,Borås,Västra Götaland,1,0
4475,57.657959140979294,12.901650087862452,2024-06-04 00:00:00,Borås,Västra Götaland,1,0
4476,60.75935853358758,12.621383933376867,2024-09-16 00:00:00,Torsby,Värmland,1,0
4477,58.54093105766146,13.494322102401588,2024-07-09 00:00:00,Götene,Västra Götaland,1,0
4478,56.69817233196125,15.924930815317243,2024-11-07 00:00:00,Nybro,Kalmar,1,0
4479,56.69565948484758,15.913203847165452,2024-11-07 00:00:00,Nybro,Kalmar,1,0
